stationID,stationName,lat,lon,count
72,W 52 St & 11 Ave,40.767272,-73.993929,15682
79,Franklin St & W Broadway,40.719116,-74.006667,12147
82,St James Pl & Pearl St,40.711174,-74.000165,10325
83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,8828
116,W 17 St & 8 Ave,40.741776,-74.001497,8420
119,Park Ave & St Edwards St,40.696089,-73.978034,7602
120,Lexington Ave & Classon Ave,40.686768,-73.959282,5945
127,Barrow St & Hudson St,40.731724,-74.006744,5799
128,MacDougal St & Prince St,40.727103,-74.002971,5426
137,E 56 St & Madison Ave,40.761628,-73.972924,5299
143,Clinton St & Joralemon St,40.692395,-73.993379,4657
144,Nassau St & Navy St,40.698399,-73.980689,4645
146,Hudson St & Reade St,40.71625,-74.009106,4583
147,Greenwich St & Warren St,40.715422,-74.01122,4581
150,E 2 St & Avenue C,40.720874,-73.980858,4522
151,Cleveland Pl & Spring St,40.721816,-73.997203,4444
152,Warren St & Church St,40.71474,-74.009106,4080
153,E 40 St & 5 Ave,40.752062,-73.981632,3710
157,Henry St & Atlantic Ave,40.690893,-73.996123,3660
160,E 37 St & Lexington Ave,40.748238,-73.978311,3656
161,LaGuardia Pl & W 3 St,40.72917,-73.998102,3536
164,E 47 St & 2 Ave,40.753231,-73.970325,3509
167,E 39 St & 3 Ave,40.748901,-73.976049,3487
168,W 18 St & 6 Ave,40.739713,-73.994564,3354
173,Broadway & W 49 St,40.760647,-73.984427,3270
174,E 25 St & 1 Ave,40.738177,-73.977387,3262
195,Liberty St & Broadway,40.709056,-74.010434,3239
212,W 16 St & The High Line,40.743349,-74.006818,3233
216,Columbia Heights & Cranberry St,40.700379,-73.995481,3175
217,Old Fulton St,40.702772,-73.993836,2984
218,Gallatin Pl & Livingston St,40.690284,-73.987071,2907
223,W 13 St & 7 Ave,40.737815,-73.999947,2886
224,Spruce St & Nassau St,40.711464,-74.005524,2866
225,W 14 St & The High Line,40.741951,-74.00803,2739
228,E 48 St & 3 Ave,40.754601,-73.971879,2671
229,Great Jones St,40.727434,-73.99379,2667
232,Cadman Plaza E & Tillary St,40.695977,-73.990149,2662
233,Joralemon St & Adams St,40.692463,-73.989639,2635
236,St Marks Pl & 2 Ave,40.728419,-73.98714,2613
237,E 11 St & 2 Ave,40.730473,-73.986724,2580
238,Bank St & Washington St,40.736197,-74.008592,2558
239,Willoughby St & Fleet St,40.691966,-73.981302,2539
241,DeKalb Ave & S Portland Ave,40.68981,-73.974931,2527
242,Flushing Ave & Carlton Ave,40.697883,-73.973503,2520
243,Fulton St & Rockwell Pl,40.688226,-73.979382,2519
244,Willoughby Ave & Hall St,40.69196,-73.965369,2471
245,Myrtle Ave & St Edwards St,40.69327,-73.977039,2468
247,Perry St & Bleecker St,40.735354,-74.004831,2460
248,Laight St & Hudson St,40.721854,-74.007718,2456
249,Harrison St & Hudson St,40.71871,-74.009001,2350
250,Lafayette St & Jersey St,40.724561,-73.995653,2332
251,Mott St & Prince St,40.72318,-73.9948,2330
252,MacDougal St & Washington Sq,40.732264,-73.998522,2302
253,W 13 St & 5 Ave,40.735439,-73.994539,2262
254,W 11 St & 6 Ave,40.735324,-73.998004,2237
255,NYCBS Depot - SSP,40.646768,-74.01651,2227
257,Lispenard St & Broadway,40.719392,-74.002472,2226
258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855,2185
259,South St & Whitehall St,40.701221,-74.012342,2176
260,Broad St & Bridge St,40.703652,-74.011678,2164
261,Johnson St & Gold St,40.694749,-73.983625,2161
262,Washington Park,40.691782,-73.97373,2143
263,Elizabeth St & Hester St,40.71729,-73.996375,2140
264,Maiden Ln & Pearl St,40.707065,-74.007319,2126
265,Stanton St & Chrystie St,40.722293,-73.991475,2071
266,Avenue D & E 8 St,40.723684,-73.975748,2059
267,Broadway & W 36 St,40.750977,-73.987654,2046
268,Howard St & Centre St,40.719105,-73.999733,2028
270,Adelphi St & Myrtle Ave,40.693083,-73.971789,2018
271,Ashland Pl & Hanson Pl,40.685282,-73.978058,2014
274,Lafayette Ave & Fort Greene Pl,40.686919,-73.976682,2013
275,Washington Ave & Greene Ave,40.686501,-73.965633,1990
276,Duane St & Greenwich St,40.717488,-74.010455,1990
278,Concord St & Bridge St,40.697666,-73.984764,1987
279,Peck Slip & Front Street,40.707873,-74.00167,1964
280,E 10 St & 5 Ave,40.73332,-73.995101,1964
